task_name,timestamp_us,state
Blink,7462,RUNNING
Blink,7470,BLOCKED
Sensor,7484,RUNNING
Sensor,8014,BLOCKED
Sensor,57427,RUNNING
Sensor,57955,BLOCKED
Sensor,107427,RUNNING
Sensor,107955,BLOCKED
Sensor,157427,RUNNING
Sensor,157955,BLOCKED
Blink,207428,RUNNING
Blink,207436,BLOCKED
Sensor,207451,RUNNING
Sensor,207978,BLOCKED
Sensor,257427,RUNNING
Sensor,257955,BLOCKED
Sensor,307427,RUNNING
Sensor,307955,BLOCKED
Sensor,357427,RUNNING
Sensor,357955,BLOCKED
Blink,407428,RUNNING
Blink,407436,BLOCKED
Sensor,407451,RUNNING
Sensor,407978,BLOCKED
Sensor,457427,RUNNING
Sensor,457955,BLOCKED
Sensor,507442,RUNNING
Sensor,507969,BLOCKED
Sensor,557427,RUNNING
Sensor,557955,BLOCKED
Blink,607428,RUNNING
Blink,607436,BLOCKED
Sensor,607451,RUNNING
Sensor,607978,BLOCKED
Sensor,657427,RUNNING
Sensor,657955,BLOCKED
Sensor,707427,RUNNING
Sensor,707955,BLOCKED
Sensor,757427,RUNNING
Sensor,757955,BLOCKED
Blink,807428,RUNNING
Blink,807436,BLOCKED
Sensor,807451,RUNNING
Sensor,807978,BLOCKED
Sensor,857427,RUNNING
Sensor,857955,BLOCKED
Sensor,907427,RUNNING
Sensor,907955,BLOCKED
Sensor,957427,RUNNING
Sensor,957955,BLOCKED
Heavy,1007432,RUNNING
Blink,1007436,READY
Sensor,1007440,READY
Blink,1007468,RUNNING
Blink,1007475,BLOCKED
Sensor,1007490,RUNNING
Sensor,1008020,BLOCKED
Heavy,1057429,BLOCKED
Sensor,1057444,RUNNING
Sensor,1057971,BLOCKED
Sensor,1107427,RUNNING
Sensor,1107955,BLOCKED
Sensor,1157427,RUNNING
Sensor,1157955,BLOCKED
Blink,1207428,RUNNING
Blink,1207436,BLOCKED
Sensor,1207451,RUNNING
Sensor,1207978,BLOCKED
Sensor,1257427,RUNNING
Sensor,1257955,BLOCKED
Sensor,1307427,RUNNING
Sensor,1307955,BLOCKED
Sensor,1357427,RUNNING
Sensor,1357955,BLOCKED
Blink,1407428,RUNNING
Blink,1407436,BLOCKED
Sensor,1407451,RUNNING
Sensor,1407978,BLOCKED
Sensor,1457427,RUNNING
Sensor,1457955,BLOCKED
Sensor,1507441,RUNNING
Sensor,1507969,BLOCKED
Sensor,1557427,RUNNING
Sensor,1557955,BLOCKED
Blink,1607428,RUNNING
Blink,1607436,BLOCKED
Sensor,1607451,RUNNING
Sensor,1607978,BLOCKED
Sensor,1657427,RUNNING
Sensor,1657955,BLOCKED
Sensor,1707427,RUNNING
Sensor,1707955,BLOCKED
Sensor,1757427,RUNNING
Sensor,1757955,BLOCKED
Blink,1807428,RUNNING
Sensor,1807435,SUSPENDED
Sensor,1807451,RUNNING
Sensor,1807978,BLOCKED
Sensor,1857427,RUNNING
Sensor,1857955,BLOCKED
Sensor,1907427,RUNNING
Sensor,1907955,BLOCKED
Sensor,1957427,RUNNING
Sensor,1957955,BLOCKED
Sensor,2007441,RUNNING
Sensor,2007969,BLOCKED
Heavy,2057428,RUNNING
Blink,2057432,READY
Sensor,2057437,READY
Sensor,2057454,RUNNING
Sensor,2057981,BLOCKED
Heavy,2107429,BLOCKED
Sensor,2107444,RUNNING
Sensor,2107971,BLOCKED
Sensor,2157427,RUNNING
Sensor,2157955,BLOCKED
Sensor,2207427,RUNNING
Sensor,2207955,BLOCKED
Sensor,2257427,RUNNING
Sensor,2257955,BLOCKED
Sensor,2307427,RUNNING
Sensor,2307955,BLOCKED
Sensor,2357427,RUNNING
Sensor,2357955,BLOCKED
Sensor,2407427,RUNNING
Sensor,2407955,BLOCKED
Sensor,2457427,RUNNING
Sensor,2457955,BLOCKED
Sensor,2507441,RUNNING
Sensor,2507969,BLOCKED
Sensor,2557427,RUNNING
Sensor,2557955,BLOCKED
Sensor,2607427,RUNNING
Sensor,2607955,BLOCKED
Sensor,2657427,RUNNING
Sensor,2657955,BLOCKED
Sensor,2707427,RUNNING
Sensor,2707955,BLOCKED
Sensor,2757427,RUNNING
Sensor,2757955,BLOCKED
Sensor,2807427,RUNNING
Sensor,2807955,BLOCKED
Sensor,2857427,RUNNING
Sensor,2857955,BLOCKED
Sensor,2907427,RUNNING
Sensor,2907955,BLOCKED
Sensor,2957427,RUNNING
Sensor,2957955,BLOCKED
Sensor,3007441,RUNNING
Sensor,3007969,BLOCKED
Sensor,3057427,RUNNING
Sensor,3057955,BLOCKED
Heavy,3107428,RUNNING
Blink,3107432,READY
Sensor,3107437,READY
Sensor,3107454,RUNNING
Sensor,3107981,BLOCKED
Heavy,3157429,BLOCKED
Sensor,3157444,RUNNING
Sensor,3157971,BLOCKED
Sensor,3207427,RUNNING
Sensor,3207955,BLOCKED
Sensor,3257427,RUNNING
Sensor,3257955,BLOCKED
Sensor,3307427,RUNNING
Sensor,3307955,BLOCKED
Sensor,3357427,RUNNING
Sensor,3357955,BLOCKED
Sensor,3407427,RUNNING
Sensor,3407955,BLOCKED
Sensor,3457427,RUNNING
Sensor,3457955,BLOCKED
Sensor,3507441,RUNNING
Sensor,3507969,BLOCKED
Sensor,3557427,RUNNING
Sensor,3557955,BLOCKED
Sensor,3607427,RUNNING
Sensor,3607955,BLOCKED
Sensor,3657427,RUNNING
Sensor,3657955,BLOCKED
Sensor,3707427,RUNNING
Sensor,3707955,BLOCKED
Sensor,3757427,RUNNING
Sensor,3757955,BLOCKED
Sensor,3807427,RUNNING
Sensor,3807955,BLOCKED
Sensor,3857427,RUNNING
Sensor,3857955,BLOCKED
Sensor,3907427,RUNNING
Sensor,3907955,BLOCKED
Sensor,3957427,RUNNING
Sensor,3957955,BLOCKED
Sensor,4007441,RUNNING
Sensor,4007969,BLOCKED
Sensor,4057427,RUNNING
Sensor,4057955,BLOCKED
Sensor,4107427,RUNNING
Sensor,4107955,BLOCKED
Heavy,4157428,RUNNING
Blink,4157432,READY
Sensor,4157437,READY
Sensor,4157454,RUNNING
Sensor,4157981,BLOCKED
Heavy,4207429,BLOCKED
Sensor,4207444,RUNNING
Sensor,4207971,BLOCKED
Sensor,4257427,RUNNING
Sensor,4257955,BLOCKED
Sensor,4307427,RUNNING
Sensor,4307955,BLOCKED
Sensor,4357427,RUNNING
Sensor,4357955,BLOCKED
Sensor,4407427,RUNNING
Sensor,4407955,BLOCKED
Sensor,4457427,RUNNING
Sensor,4457955,BLOCKED
Sensor,4507441,RUNNING
Sensor,4507969,BLOCKED
Sensor,4557427,RUNNING
Sensor,4557955,BLOCKED
Sensor,4607427,RUNNING
Sensor,4607955,BLOCKED
Sensor,4657427,RUNNING
Sensor,4657955,BLOCKED
Sensor,4707427,RUNNING
Sensor,4707955,BLOCKED
Sensor,4757427,RUNNING
Sensor,4757955,BLOCKED
Sensor,4807427,RUNNING
Sensor,4807955,BLOCKED
Sensor,4857427,RUNNING
Sensor,4857955,BLOCKED
Sensor,4907427,RUNNING
Sensor,4907955,BLOCKED
Sensor,4957427,RUNNING
Sensor,4957955,BLOCKED
Sensor,5007441,RUNNING
Sensor,5007969,BLOCKED
Sensor,5057427,RUNNING
Sensor,5057955,BLOCKED
Sensor,5107427,RUNNING
Sensor,5107955,BLOCKED
Sensor,5157427,RUNNING
Sensor,5157955,BLOCKED
Heavy,5207428,RUNNING
Blink,5207432,READY
Sensor,5207437,READY
Sensor,5207454,RUNNING
Sensor,5207981,BLOCKED
Heavy,5257429,BLOCKED
Sensor,5257444,RUNNING
Sensor,5257971,BLOCKED
Sensor,5307427,RUNNING
Sensor,5307955,BLOCKED
Sensor,5357427,RUNNING
Sensor,5357955,BLOCKED
Sensor,5407427,RUNNING
Sensor,5407955,BLOCKED
Sensor,5457427,RUNNING
Sensor,5457955,BLOCKED
Sensor,5507441,RUNNING
Sensor,5507969,BLOCKED
