task_name,timestamp_us,state
Sensor,5557427,RUNNING
Sensor,5557955,BLOCKED
Sensor,5607427,RUNNING
Sensor,5607955,BLOCKED
Sensor,5657427,RUNNING
Sensor,5657955,BLOCKED
Sensor,5707427,RUNNING
Sensor,5707955,BLOCKED
Sensor,5757427,RUNNING
Sensor,5757955,BLOCKED
Sensor,5807427,RUNNING
Sensor,5807955,BLOCKED
Sensor,5857427,RUNNING
Sensor,5857955,BLOCKED
Sensor,5907427,RUNNING
Sensor,5907955,BLOCKED
Sensor,5957427,RUNNING
Sensor,5957955,BLOCKED
Sensor,6007441,RUNNING
Sensor,6007969,BLOCKED
Sensor,6057427,RUNNING
Sensor,6057955,BLOCKED
Sensor,6107427,RUNNING
Sensor,6107955,BLOCKED
Sensor,6157427,RUNNING
Sensor,6157955,BLOCKED
Sensor,6207427,RUNNING
Sensor,6207955,BLOCKED
Heavy,6257428,RUNNING
Blink,6257432,READY
Sensor,6257437,READY
Sensor,6257454,RUNNING
Sensor,6257981,BLOCKED
Heavy,6307429,BLOCKED
Sensor,6307444,RUNNING
Sensor,6307971,BLOCKED
Sensor,6357427,RUNNING
Sensor,6357955,BLOCKED
