task_name,timestamp_us,state_or_value,type
Task 1,13405313,READY,STATE
RAM,13505326,4304,RAM
Task 1,13505331,RUNNING,STATE
Task 1,13705313,READY,STATE
RAM,13805313,4304,RAM
Task 1,13805317,RUNNING,STATE
Task 2,13905313,READY,STATE
Task 1,14005328,READY,STATE
RAM,14005344,4304,RAM
Task 2,14005348,RUNNING,STATE
RAM,14105313,4304,RAM
Task 1,14105317,RUNNING,STATE
Task 1,14305313,READY,STATE
RAM,14405313,4304,RAM
Task 1,14405317,RUNNING,STATE
Task 2,14605315,READY,STATE
Task 1,14605331,READY,STATE
RAM,14705315,4304,RAM
Task 2,14705319,RUNNING,STATE
RAM,14705335,4304,RAM
Task 1,14705339,RUNNING,STATE
Task 1,14905313,READY,STATE
RAM,15005326,4304,RAM
Task 1,15005331,RUNNING,STATE
Task 1,15205313,READY,STATE
Task 2,15305315,READY,STATE
RAM,15305331,4304,RAM
Task 1,15305335,RUNNING,STATE
RAM,15405313,4304,RAM
Task 2,15405317,RUNNING,STATE
Task 1,15505327,READY,STATE
RAM,15605313,4304,RAM
Task 1,15605317,RUNNING,STATE
Task 1,15805313,READY,STATE
RAM,15905313,4304,RAM
Task 1,15905317,RUNNING,STATE
Task 2,16005327,READY,STATE
Task 1,16105315,READY,STATE
RAM,16105331,4304,RAM
Task 2,16105335,RUNNING,STATE
RAM,16205313,4304,RAM
Task 1,16205317,RUNNING,STATE
Task 1,16405313,READY,STATE
RAM,16505326,4304,RAM
Task 1,16505331,RUNNING,STATE
Task 2,16705315,READY,STATE
Task 1,16705331,READY,STATE
RAM,16805315,4304,RAM
Task 2,16805319,RUNNING,STATE
RAM,16805335,4304,RAM
Task 1,16805339,RUNNING,STATE
Task 1,17005327,READY,STATE
RAM,17105313,4304,RAM
Task 1,17105317,RUNNING,STATE
Task 1,17305313,READY,STATE
Task 2,17405315,READY,STATE
RAM,17405331,4304,RAM
Task 1,17405335,RUNNING,STATE
RAM,17505326,4304,RAM
Task 2,17505331,RUNNING,STATE
Task 1,17605313,READY,STATE
RAM,17705313,4304,RAM
Task 1,17705317,RUNNING,STATE
Task 1,17905313,READY,STATE
RAM,18005326,4304,RAM
Task 1,18005331,RUNNING,STATE
Task 2,18105313,READY,STATE
Task 1,18205315,READY,STATE
RAM,18205331,4304,RAM
Task 2,18205335,RUNNING,STATE
RAM,18305313,4304,RAM
Task 1,18305317,RUNNING,STATE
Task 1,18505327,READY,STATE
RAM,18605313,4304,RAM
Task 1,18605317,RUNNING,STATE
Task 2,18805315,READY,STATE
Task 1,18805331,READY,STATE
RAM,18905315,4304,RAM
Task 2,18905319,RUNNING,STATE
RAM,18905335,4304,RAM
Task 1,18905339,RUNNING,STATE
Task 1,19105313,READY,STATE
RAM,19205313,4304,RAM
Task 1,19205317,RUNNING,STATE
Task 1,19405313,READY,STATE
Task 2,19505328,READY,STATE
RAM,19505344,4304,RAM
Task 1,19505348,RUNNING,STATE
RAM,19605313,4304,RAM
Task 2,19605317,RUNNING,STATE
Task 1,19705313,READY,STATE
RAM,19805313,4304,RAM
Task 1,19805317,RUNNING,STATE
Task 1,20005327,READY,STATE
RAM,20105313,4304,RAM
Task 1,20105317,RUNNING,STATE
Task 2,20205313,READY,STATE
Task 1,20305315,READY,STATE
RAM,20305331,4304,RAM
Task 2,20305335,RUNNING,STATE
RAM,20405313,4304,RAM
Task 1,20405317,RUNNING,STATE
Task 1,20605313,READY,STATE
RAM,20705313,4304,RAM
Task 1,20705317,RUNNING,STATE
Task 2,20905315,READY,STATE
Task 1,20905331,READY,STATE
RAM,21005328,4304,RAM
Task 2,21005332,RUNNING,STATE

