task_name,timestamp_us,state_or_value,type
Sensor,4807428,RUNNING,STATE
Sensor,4807955,RUNNING,STATE
Sensor,4857428,RUNNING,STATE
Sensor,4857955,RUNNING,STATE
Sensor,4907428,RUNNING,STATE
Sensor,4907955,RUNNING,STATE
Sensor,4957428,RUNNING,STATE
Sensor,4957955,RUNNING,STATE
SYSTEM_RAM,5007428,3672,RAM
Sensor,5007445,RUNNING,STATE
Sensor,5007973,RUNNING,STATE
Sensor,5057428,RUNNING,STATE
Sensor,5057955,RUNNING,STATE
Sensor,5107428,RUNNING,STATE
Sensor,5107955,RUNNING,STATE
Sensor,5157428,RUNNING,STATE
Sensor,5157955,RUNNING,STATE
Heavy,5207429,RUNNING,STATE
Blink,5207433,RUNNING,STATE
Sensor,5207437,RUNNING,STATE
Sensor,5207455,RUNNING,STATE
Sensor,5207982,RUNNING,STATE
Heavy,5257429,RUNNING,STATE
Sensor,5257445,RUNNING,STATE
Sensor,5257972,RUNNING,STATE
Sensor,5307428,RUNNING,STATE
Sensor,5307955,RUNNING,STATE
Sensor,5357428,RUNNING,STATE
Sensor,5357955,RUNNING,STATE
Sensor,5407428,RUNNING,STATE
Sensor,5407955,RUNNING,STATE
Sensor,5457428,RUNNING,STATE
Sensor,5457955,RUNNING,STATE
SYSTEM_RAM,5507428,3672,RAM
Sensor,5507445,RUNNING,STATE
Sensor,5507973,RUNNING,STATE
Sensor,5557428,RUNNING,STATE
Sensor,5557955,RUNNING,STATE
Sensor,5607428,RUNNING,STATE
Sensor,5607955,RUNNING,STATE
Sensor,5657428,RUNNING,STATE
Sensor,5657955,RUNNING,STATE
Sensor,5707428,RUNNING,STATE
Sensor,5707955,RUNNING,STATE
Sensor,5757428,RUNNING,STATE
Sensor,5757955,RUNNING,STATE
Sensor,5807428,RUNNING,STATE
Sensor,5807955,RUNNING,STATE
Sensor,5857428,RUNNING,STATE
Sensor,5857955,RUNNING,STATE
Sensor,5907428,RUNNING,STATE
Sensor,5907955,RUNNING,STATE
Sensor,5957428,RUNNING,STATE
Sensor,5957955,RUNNING,STATE
SYSTEM_RAM,6007428,3672,RAM
Sensor,6007445,RUNNING,STATE
Sensor,6007973,RUNNING,STATE
Sensor,6057428,RUNNING,STATE
Sensor,6057955,RUNNING,STATE
Sensor,6107428,RUNNING,STATE
Sensor,6107955,RUNNING,STATE
Sensor,6157428,RUNNING,STATE
