task_name,timestamp_us,state
Sensor,4209323,RUNNING
Sensor,4209849,BLOCKED
Sensor,4259323,RUNNING
Sensor,4259849,BLOCKED
Blink,4308324,BLOCKED
Sensor,4309323,RUNNING
Sensor,4309849,BLOCKED
Sensor,4359323,RUNNING
Sensor,4359849,BLOCKED
Blink,4408323,RUNNING
Sensor,4409323,RUNNING
Sensor,4409849,BLOCKED
Sensor,4459323,RUNNING
Sensor,4459849,BLOCKED
Blink,4508338,BLOCKED
Sensor,4509323,RUNNING
Sensor,4509849,BLOCKED
Sensor,4559323,RUNNING
Sensor,4559849,BLOCKED
Blink,4608323,RUNNING
Sensor,4609323,RUNNING
Sensor,4609849,BLOCKED
Sensor,4659323,RUNNING
Sensor,4659849,BLOCKED
Blink,4708324,BLOCKED
Sensor,4709323,RUNNING
Sensor,4709849,BLOCKED
Sensor,4759323,RUNNING
Sensor,4759849,BLOCKED
Blink,4808323,RUNNING
Sensor,4809323,RUNNING
Sensor,4809849,BLOCKED
Sensor,4859323,RUNNING
Sensor,4859849,BLOCKED
Blink,4908324,BLOCKED
Sensor,4909323,RUNNING
Sensor,4909849,BLOCKED
Sensor,4959323,RUNNING
Sensor,4959849,BLOCKED
Blink,5008337,RUNNING
Sensor,5009323,RUNNING
Sensor,5009849,BLOCKED
Sensor,5059323,RUNNING
Sensor,5059849,BLOCKED
Blink,5108324,BLOCKED
Sensor,5109323,RUNNING
Sensor,5109849,BLOCKED
Sensor,5159323,RUNNING
Sensor,5159849,BLOCKED
Blink,5208323,RUNNING
Sensor,5209323,RUNNING
Sensor,5209849,BLOCKED
Sensor,5259323,RUNNING
Sensor,5259849,BLOCKED
Blink,5308324,BLOCKED
Sensor,5309323,RUNNING
Sensor,5309849,BLOCKED
Sensor,5359323,RUNNING
Sensor,5359849,BLOCKED
Blink,5408323,RUNNING
Sensor,5409323,RUNNING
Sensor,5409849,BLOCKED
Sensor,5459323,RUNNING
Sensor,5459849,BLOCKED
Blink,5508338,BLOCKED
Sensor,5509323,RUNNING
Sensor,5509849,BLOCKED
Sensor,5559323,RUNNING
Sensor,5559849,BLOCKED
Blink,5608323,RUNNING
Sensor,5609323,RUNNING
Sensor,5609849,BLOCKED
Sensor,5659323,RUNNING
Sensor,5659849,BLOCKED
Blink,5708324,BLOCKED
Sensor,5709323,RUNNING
Sensor,5709849,BLOCKED
Sensor,5759323,RUNNING
Sensor,5759849,BLOCKED
Blink,5808323,RUNNING
Sensor,5809323,RUNNING
Sensor,5809849,BLOCKED
Sensor,5859323,RUNNING
Sensor,5859849,BLOCKED
Blink,5908324,BLOCKED
Sensor,5909323,RUNNING
Sensor,5909849,BLOCKED
Sensor,5959323,RUNNING
Sensor,5959849,BLOCKED
